a_type	c_type	weight
Other	Project	0.01
Group projects	Project	0.05
Group projects	Project	0.18
Group projects	Project	0.10
Other	Project	0.01
Group projects	Project	0.10
Papers	Project	0.10
Tests	Project	0.15
Exams	Project	0.30
Other	Math	0.10
Tests	Math	0.10
Tests	Math	0.30
Exams	Math	0.50
Labs	Engineering	0.02
Labs	Engineering	0.03
Labs	Engineering	0.03
Labs	Engineering	0.06
Labs	Engineering	0.03
Labs	Engineering	0.03
Tests	Engineering	0.15
Tests	Engineering	0.15
Exams	Engineering	0.50
Tests	Math	0.15
Tests	Math	0.15
Exams	Math	0.50
Quizzes	Math	0.03
Quizzes	Math	0.00
Quizzes	Math	0.03
Quizzes	Math	0.03
Quizzes	Math	0.00
Quizzes	Math	0.03
Quizzes	Math	0.03
Quizzes	Math	0.03
Quizzes	Math	0.03
Quizzes	Math	0.00
Group projects	Engineering	0.05
Group projects	Engineering	0.05
Exams	Engineering	0.50
Problem sets	Engineering	0.02
Problem sets	Engineering	0.02
Problem sets	Engineering	0.02
Problem sets	Engineering	0.02
Problem sets	Engineering	0.02
Problem sets	Engineering	0.02
Problem sets	Engineering	0.02
Problem sets	Engineering	0.00
Problem sets	Engineering	0.00
Problem sets	Engineering	0.00
Quizzes	Engineering	0.04
Quizzes	Engineering	0.04
Quizzes	Engineering	0.00
Quizzes	Engineering	0.04
Quizzes	Engineering	0.00
Quizzes	Engineering	0.04
Quizzes	Engineering	0.04
Quizzes	Engineering	0.04
Quizzes	Engineering	0.04
Quizzes	Engineering	0.00
Quizzes	Science	0.04
Quizzes	Science	0.04
Quizzes	Science	0.04
Quizzes	Science	0.04
Quizzes	Science	0.04
Quizzes	Science	0.00
Labs	Science	0.04
Labs	Science	0.04
Labs	Science	0.04
Labs	Science	0.00
Labs	Science	0.04
Labs	Science	0.04
Tests	Science	0.20
Exams	Science	0.40
Other	Engineering	0.10
Labs	Engineering	0.02
Labs	Engineering	0.02
Labs	Engineering	0.02
Labs	Engineering	0.02
Labs	Engineering	0.02
Tests	Engineering	0.35
Quizzes	Engineering	0.01
Quizzes	Engineering	0.01
Quizzes	Engineering	0.01
Quizzes	Engineering	0.01
Quizzes	Engineering	0.01
Quizzes	Engineering	0.01
Quizzes	Engineering	0.01
Exams	Engineering	0.35
Group projects	Project	0.10
Group projects	Project	0.25
Group projects	Project	0.05
Group projects	Project	0.10
Group projects	Project	0.10
Papers	Project	0.05
Papers	Project	0.25
Other	Project	0.01
Other	Project	0.03
Group projects	Project	0.06
Quizzes	Math	0.04
Quizzes	Math	0.04
Quizzes	Math	0.04
Quizzes	Math	0.04
Quizzes	Math	0.00
Quizzes	Math	0.00
Quizzes	Math	0.04
Tests	Math	0.30
Exams	Math	0.50
Labs	Engineering	0.03
Labs	Engineering	0.00
Labs	Engineering	0.03
Labs	Engineering	0.03
Labs	Engineering	0.06
Labs	Engineering	0.00
Tests	Engineering	0.15
Tests	Engineering	0.15
Exams	Engineering	0.55
Tests	Math	0.20
Tests	Math	0.20
Exams	Math	0.55
Problem sets	Math	0.01
Problem sets	Math	0.01
Problem sets	Math	0.01
Problem sets	Math	0.01
Problem sets	Math	0.01
Problem sets	Science	0.03
Problem sets	Science	0.03
Problem sets	Science	0.03
Problem sets	Science	0.03
Problem sets	Science	0.03
Problem sets	Science	0.03
Problem sets	Science	0.03
Problem sets	Science	0.03
Problem sets	Science	0.03
Tests	Science	0.38
Papers	Science	0.30
Quizzes	Science	0.08
Tests	Engineering	0.24
Tests	Engineering	0.24
Labs	Engineering	0.07
Labs	Engineering	0.05
Exams	Engineering	0.40
Other	Math	0.05
Labs	Math	0.15
Tests	Math	0.15
Tests	Math	0.20
Tests	Math	0.20
Exams	Math	0.25
Labs	Engineering	0.05
Labs	Engineering	0.05
Tests	Engineering	0.15
Tests	Engineering	0.30
Tests	Engineering	0.15
Exams	Engineering	0.30
Papers	Humanities	0.10
Papers	Humanities	0.10
Group projects	Humanities	0.10
Other	Humanities	0.20
Tests	Humanities	0.20
Exams	Humanities	0.30
Quizzes	Science	0.10
Quizzes	Science	0.10
Quizzes	Science	0.10
Quizzes	Science	0.10
Quizzes	Science	0.10
Labs	Science	0.02
Labs	Science	0.06
